name,current_price,original_price,discount,store,category,product_link,scraped_at
TUHOMEEscritorio Computo Duna 69.1x119x45.1 cmPor Sodimac$  65.990-45%$  74.990$  119.990(1)Agregar ,$74.990,$119.990,-45%,falabella,,,2025-07-29T20:46:54.467021
TUHOMEEscritorio Axis Duna 151.5x76.5x116.5 cmPor Sodimac$  119.990-45%$  129.990$  219.990(1)Agrega,$129.990,$219.990,-45%,falabella,,,2025-07-29T20:46:54.470820
COMERCIALIZADORA ELEGANT DETAILSofá Minnesota 3 Cuerpos T/PuPor Falabella$  299.990-45%$  349.990$  ,$349.990,$549.990,-45%,falabella,,,2025-07-29T20:46:54.478784
COMERCIALIZADORA ELEGANT DETAILSofá Houston 3 Cuerpos Tela/ PuPor Falabella$  319.990-44%$  369.990$,$369.990,$569.990,-44%,falabella,,,2025-07-29T20:46:54.485765
CONIGLIOTraje De Baño NiñoPor Falabella$  5.990-54%$  12.990(4)Agregar al Carro,$5.990,$12.990,-54%,falabella,,,2025-07-29T20:46:54.490206
URSUS TROTTERCalefactor de terraza Infraheat 20 wifiPor Sodimac$  84.990-45%$  154.9906cuotas sin in,$84.990,$154.990,-45%,falabella,,,2025-07-29T20:46:54.497153
VEKKAHOMEEscritorio UniónPor Falabella$ 89.990 -$ 99.990-47%$  99.990 - $  109.990$  169.990(1)Agreg,$109.990,$169.990,-47%,falabella,,,2025-07-29T20:46:54.501450
RASCHPapel Mural Indian Style 746051 5 m2Por Sodimac$  22.990-51%$  47.190ECO(1)Agregar al Carro,$22.990,$47.190,-51%,falabella,,,2025-07-29T20:46:54.504958
ROSENBox Spring Tempo Plus 2 Plazas X 2.00Mt Base DivididaPor Falabella$  549.990-40%$  919.990(7)Ag,$549.990,$919.990,-40%,falabella,,,2025-07-29T20:46:54.511136
MOBILFRANKClóset 3 Puertas 2 Cajones 2 ColoresPor Falabella$  74.990-46%$  89.990$  139.990(1)Agrega,$89.990,$139.990,-46%,falabella,,,2025-07-29T20:46:54.514864
